pair_id,optical_path,sar_path,land_cover_label,split
46,data/processed/optical\opt_0046.npy,data/processed/sar\sar_0046.npy,forest,train
47,data/processed/optical\opt_0047.npy,data/processed/sar\sar_0047.npy,barren,train
48,data/processed/optical\opt_0048.npy,data/processed/sar\sar_0048.npy,agriculture,train
49,data/processed/optical\opt_0049.npy,data/processed/sar\sar_0049.npy,barren,train
50,data/processed/optical\opt_0050.npy,data/processed/sar\sar_0050.npy,barren,train
51,data/processed/optical\opt_0051.npy,data/processed/sar\sar_0051.npy,barren,train
52,data/processed/optical\opt_0052.npy,data/processed/sar\sar_0052.npy,agriculture,train
53,data/processed/optical\opt_0053.npy,data/processed/sar\sar_0053.npy,agriculture,train
54,data/processed/optical\opt_0054.npy,data/processed/sar\sar_0054.npy,forest,train
55,data/processed/optical\opt_0055.npy,data/processed/sar\sar_0055.npy,forest,train
56,data/processed/optical\opt_0056.npy,data/processed/sar\sar_0056.npy,forest,train
57,data/processed/optical\opt_0057.npy,data/processed/sar\sar_0057.npy,barren,train
58,data/processed/optical\opt_0058.npy,data/processed/sar\sar_0058.npy,forest,train
59,data/processed/optical\opt_0059.npy,data/processed/sar\sar_0059.npy,agriculture,train
60,data/processed/optical\opt_0060.npy,data/processed/sar\sar_0060.npy,barren,train
61,data/processed/optical\opt_0061.npy,data/processed/sar\sar_0061.npy,agriculture,train
62,data/processed/optical\opt_0062.npy,data/processed/sar\sar_0062.npy,forest,train
63,data/processed/optical\opt_0063.npy,data/processed/sar\sar_0063.npy,barren,train
64,data/processed/optical\opt_0064.npy,data/processed/sar\sar_0064.npy,agriculture,train
65,data/processed/optical\opt_0065.npy,data/processed/sar\sar_0065.npy,barren,train
66,data/processed/optical\opt_0066.npy,data/processed/sar\sar_0066.npy,barren,train
67,data/processed/optical\opt_0067.npy,data/processed/sar\sar_0067.npy,forest,train
68,data/processed/optical\opt_0068.npy,data/processed/sar\sar_0068.npy,barren,train
69,data/processed/optical\opt_0069.npy,data/processed/sar\sar_0069.npy,agriculture,train
70,data/processed/optical\opt_0070.npy,data/processed/sar\sar_0070.npy,barren,train
71,data/processed/optical\opt_0071.npy,data/processed/sar\sar_0071.npy,forest,train
72,data/processed/optical\opt_0072.npy,data/processed/sar\sar_0072.npy,agriculture,train
73,data/processed/optical\opt_0073.npy,data/processed/sar\sar_0073.npy,forest,train
74,data/processed/optical\opt_0074.npy,data/processed/sar\sar_0074.npy,barren,train
75,data/processed/optical\opt_0075.npy,data/processed/sar\sar_0075.npy,barren,train
76,data/processed/optical\opt_0076.npy,data/processed/sar\sar_0076.npy,barren,train
77,data/processed/optical\opt_0077.npy,data/processed/sar\sar_0077.npy,barren,train
78,data/processed/optical\opt_0078.npy,data/processed/sar\sar_0078.npy,barren,train
79,data/processed/optical\opt_0079.npy,data/processed/sar\sar_0079.npy,agriculture,train
80,data/processed/optical\opt_0080.npy,data/processed/sar\sar_0080.npy,agriculture,train
81,data/processed/optical\opt_0081.npy,data/processed/sar\sar_0081.npy,agriculture,train
82,data/processed/optical\opt_0082.npy,data/processed/sar\sar_0082.npy,agriculture,train
83,data/processed/optical\opt_0083.npy,data/processed/sar\sar_0083.npy,barren,train
84,data/processed/optical\opt_0084.npy,data/processed/sar\sar_0084.npy,agriculture,train
85,data/processed/optical\opt_0085.npy,data/processed/sar\sar_0085.npy,barren,train
86,data/processed/optical\opt_0086.npy,data/processed/sar\sar_0086.npy,agriculture,train
87,data/processed/optical\opt_0087.npy,data/processed/sar\sar_0087.npy,forest,train
88,data/processed/optical\opt_0088.npy,data/processed/sar\sar_0088.npy,barren,train
89,data/processed/optical\opt_0089.npy,data/processed/sar\sar_0089.npy,forest,train
90,data/processed/optical\opt_0090.npy,data/processed/sar\sar_0090.npy,barren,train
91,data/processed/optical\opt_0091.npy,data/processed/sar\sar_0091.npy,forest,train
92,data/processed/optical\opt_0092.npy,data/processed/sar\sar_0092.npy,agriculture,train
93,data/processed/optical\opt_0093.npy,data/processed/sar\sar_0093.npy,forest,train
94,data/processed/optical\opt_0094.npy,data/processed/sar\sar_0094.npy,agriculture,train
95,data/processed/optical\opt_0095.npy,data/processed/sar\sar_0095.npy,barren,train
96,data/processed/optical\opt_0096.npy,data/processed/sar\sar_0096.npy,agriculture,train
97,data/processed/optical\opt_0097.npy,data/processed/sar\sar_0097.npy,agriculture,train
98,data/processed/optical\opt_0098.npy,data/processed/sar\sar_0098.npy,forest,train
99,data/processed/optical\opt_0099.npy,data/processed/sar\sar_0099.npy,forest,train
100,data/processed/optical\opt_0100.npy,data/processed/sar\sar_0100.npy,barren,train
101,data/processed/optical\opt_0101.npy,data/processed/sar\sar_0101.npy,forest,train
102,data/processed/optical\opt_0102.npy,data/processed/sar\sar_0102.npy,agriculture,train
103,data/processed/optical\opt_0103.npy,data/processed/sar\sar_0103.npy,barren,train
104,data/processed/optical\opt_0104.npy,data/processed/sar\sar_0104.npy,forest,train
105,data/processed/optical\opt_0105.npy,data/processed/sar\sar_0105.npy,agriculture,train
106,data/processed/optical\opt_0106.npy,data/processed/sar\sar_0106.npy,forest,train
107,data/processed/optical\opt_0107.npy,data/processed/sar\sar_0107.npy,agriculture,train
108,data/processed/optical\opt_0108.npy,data/processed/sar\sar_0108.npy,agriculture,train
109,data/processed/optical\opt_0109.npy,data/processed/sar\sar_0109.npy,agriculture,train
110,data/processed/optical\opt_0110.npy,data/processed/sar\sar_0110.npy,forest,train
111,data/processed/optical\opt_0111.npy,data/processed/sar\sar_0111.npy,barren,train
112,data/processed/optical\opt_0112.npy,data/processed/sar\sar_0112.npy,agriculture,train
113,data/processed/optical\opt_0113.npy,data/processed/sar\sar_0113.npy,agriculture,train
114,data/processed/optical\opt_0114.npy,data/processed/sar\sar_0114.npy,agriculture,train
115,data/processed/optical\opt_0115.npy,data/processed/sar\sar_0115.npy,forest,train
116,data/processed/optical\opt_0116.npy,data/processed/sar\sar_0116.npy,agriculture,train
117,data/processed/optical\opt_0117.npy,data/processed/sar\sar_0117.npy,barren,train
118,data/processed/optical\opt_0118.npy,data/processed/sar\sar_0118.npy,barren,train
119,data/processed/optical\opt_0119.npy,data/processed/sar\sar_0119.npy,barren,train
120,data/processed/optical\opt_0120.npy,data/processed/sar\sar_0120.npy,forest,train
121,data/processed/optical\opt_0121.npy,data/processed/sar\sar_0121.npy,forest,train
122,data/processed/optical\opt_0122.npy,data/processed/sar\sar_0122.npy,barren,train
123,data/processed/optical\opt_0123.npy,data/processed/sar\sar_0123.npy,agriculture,train
124,data/processed/optical\opt_0124.npy,data/processed/sar\sar_0124.npy,forest,train
125,data/processed/optical\opt_0125.npy,data/processed/sar\sar_0125.npy,barren,train
126,data/processed/optical\opt_0126.npy,data/processed/sar\sar_0126.npy,agriculture,train
127,data/processed/optical\opt_0127.npy,data/processed/sar\sar_0127.npy,agriculture,train
128,data/processed/optical\opt_0128.npy,data/processed/sar\sar_0128.npy,forest,train
129,data/processed/optical\opt_0129.npy,data/processed/sar\sar_0129.npy,forest,train
130,data/processed/optical\opt_0130.npy,data/processed/sar\sar_0130.npy,forest,train
131,data/processed/optical\opt_0131.npy,data/processed/sar\sar_0131.npy,barren,train
132,data/processed/optical\opt_0132.npy,data/processed/sar\sar_0132.npy,agriculture,train
133,data/processed/optical\opt_0133.npy,data/processed/sar\sar_0133.npy,agriculture,train
134,data/processed/optical\opt_0134.npy,data/processed/sar\sar_0134.npy,barren,train
135,data/processed/optical\opt_0135.npy,data/processed/sar\sar_0135.npy,forest,train
136,data/processed/optical\opt_0136.npy,data/processed/sar\sar_0136.npy,barren,train
137,data/processed/optical\opt_0137.npy,data/processed/sar\sar_0137.npy,agriculture,train
138,data/processed/optical\opt_0138.npy,data/processed/sar\sar_0138.npy,barren,train
139,data/processed/optical\opt_0139.npy,data/processed/sar\sar_0139.npy,agriculture,train
140,data/processed/optical\opt_0140.npy,data/processed/sar\sar_0140.npy,forest,train
141,data/processed/optical\opt_0141.npy,data/processed/sar\sar_0141.npy,forest,train
142,data/processed/optical\opt_0142.npy,data/processed/sar\sar_0142.npy,barren,train
143,data/processed/optical\opt_0143.npy,data/processed/sar\sar_0143.npy,barren,train
144,data/processed/optical\opt_0144.npy,data/processed/sar\sar_0144.npy,barren,train
145,data/processed/optical\opt_0145.npy,data/processed/sar\sar_0145.npy,barren,train
146,data/processed/optical\opt_0146.npy,data/processed/sar\sar_0146.npy,forest,train
147,data/processed/optical\opt_0147.npy,data/processed/sar\sar_0147.npy,forest,train
148,data/processed/optical\opt_0148.npy,data/processed/sar\sar_0148.npy,agriculture,train
149,data/processed/optical\opt_0149.npy,data/processed/sar\sar_0149.npy,agriculture,train
150,data/processed/optical\opt_0150.npy,data/processed/sar\sar_0150.npy,barren,train
151,data/processed/optical\opt_0151.npy,data/processed/sar\sar_0151.npy,agriculture,train
152,data/processed/optical\opt_0152.npy,data/processed/sar\sar_0152.npy,agriculture,train
153,data/processed/optical\opt_0153.npy,data/processed/sar\sar_0153.npy,barren,train
154,data/processed/optical\opt_0154.npy,data/processed/sar\sar_0154.npy,agriculture,train
155,data/processed/optical\opt_0155.npy,data/processed/sar\sar_0155.npy,barren,train
156,data/processed/optical\opt_0156.npy,data/processed/sar\sar_0156.npy,agriculture,train
157,data/processed/optical\opt_0157.npy,data/processed/sar\sar_0157.npy,forest,train
158,data/processed/optical\opt_0158.npy,data/processed/sar\sar_0158.npy,barren,train
159,data/processed/optical\opt_0159.npy,data/processed/sar\sar_0159.npy,forest,train
160,data/processed/optical\opt_0160.npy,data/processed/sar\sar_0160.npy,barren,train
161,data/processed/optical\opt_0161.npy,data/processed/sar\sar_0161.npy,agriculture,train
162,data/processed/optical\opt_0162.npy,data/processed/sar\sar_0162.npy,forest,train
163,data/processed/optical\opt_0163.npy,data/processed/sar\sar_0163.npy,agriculture,train
164,data/processed/optical\opt_0164.npy,data/processed/sar\sar_0164.npy,barren,train
165,data/processed/optical\opt_0165.npy,data/processed/sar\sar_0165.npy,agriculture,train
166,data/processed/optical\opt_0166.npy,data/processed/sar\sar_0166.npy,barren,train
167,data/processed/optical\opt_0167.npy,data/processed/sar\sar_0167.npy,agriculture,train
168,data/processed/optical\opt_0168.npy,data/processed/sar\sar_0168.npy,barren,train
169,data/processed/optical\opt_0169.npy,data/processed/sar\sar_0169.npy,barren,train
170,data/processed/optical\opt_0170.npy,data/processed/sar\sar_0170.npy,forest,train
171,data/processed/optical\opt_0171.npy,data/processed/sar\sar_0171.npy,forest,train
172,data/processed/optical\opt_0172.npy,data/processed/sar\sar_0172.npy,forest,train
173,data/processed/optical\opt_0173.npy,data/processed/sar\sar_0173.npy,barren,train
174,data/processed/optical\opt_0174.npy,data/processed/sar\sar_0174.npy,agriculture,train
175,data/processed/optical\opt_0175.npy,data/processed/sar\sar_0175.npy,barren,train
176,data/processed/optical\opt_0176.npy,data/processed/sar\sar_0176.npy,agriculture,train
177,data/processed/optical\opt_0177.npy,data/processed/sar\sar_0177.npy,barren,train
178,data/processed/optical\opt_0178.npy,data/processed/sar\sar_0178.npy,barren,train
179,data/processed/optical\opt_0179.npy,data/processed/sar\sar_0179.npy,agriculture,train
180,data/processed/optical\opt_0180.npy,data/processed/sar\sar_0180.npy,barren,train
181,data/processed/optical\opt_0181.npy,data/processed/sar\sar_0181.npy,agriculture,train
182,data/processed/optical\opt_0182.npy,data/processed/sar\sar_0182.npy,forest,train
183,data/processed/optical\opt_0183.npy,data/processed/sar\sar_0183.npy,agriculture,train
184,data/processed/optical\opt_0184.npy,data/processed/sar\sar_0184.npy,agriculture,train
185,data/processed/optical\opt_0185.npy,data/processed/sar\sar_0185.npy,barren,train
186,data/processed/optical\opt_0186.npy,data/processed/sar\sar_0186.npy,forest,train
187,data/processed/optical\opt_0187.npy,data/processed/sar\sar_0187.npy,agriculture,train
188,data/processed/optical\opt_0188.npy,data/processed/sar\sar_0188.npy,forest,train
189,data/processed/optical\opt_0189.npy,data/processed/sar\sar_0189.npy,barren,train
190,data/processed/optical\opt_0190.npy,data/processed/sar\sar_0190.npy,forest,train
191,data/processed/optical\opt_0191.npy,data/processed/sar\sar_0191.npy,forest,train
192,data/processed/optical\opt_0192.npy,data/processed/sar\sar_0192.npy,agriculture,train
193,data/processed/optical\opt_0193.npy,data/processed/sar\sar_0193.npy,forest,train
194,data/processed/optical\opt_0194.npy,data/processed/sar\sar_0194.npy,agriculture,train
195,data/processed/optical\opt_0195.npy,data/processed/sar\sar_0195.npy,barren,train
196,data/processed/optical\opt_0196.npy,data/processed/sar\sar_0196.npy,agriculture,train
197,data/processed/optical\opt_0197.npy,data/processed/sar\sar_0197.npy,forest,train
198,data/processed/optical\opt_0198.npy,data/processed/sar\sar_0198.npy,barren,train
199,data/processed/optical\opt_0199.npy,data/processed/sar\sar_0199.npy,barren,train
200,data/processed/optical\opt_0200.npy,data/processed/sar\sar_0200.npy,barren,train
201,data/processed/optical\opt_0201.npy,data/processed/sar\sar_0201.npy,forest,train
202,data/processed/optical\opt_0202.npy,data/processed/sar\sar_0202.npy,forest,train
203,data/processed/optical\opt_0203.npy,data/processed/sar\sar_0203.npy,barren,train
204,data/processed/optical\opt_0204.npy,data/processed/sar\sar_0204.npy,barren,train
205,data/processed/optical\opt_0205.npy,data/processed/sar\sar_0205.npy,agriculture,train
206,data/processed/optical\opt_0206.npy,data/processed/sar\sar_0206.npy,agriculture,train
207,data/processed/optical\opt_0207.npy,data/processed/sar\sar_0207.npy,barren,train
208,data/processed/optical\opt_0208.npy,data/processed/sar\sar_0208.npy,barren,train
209,data/processed/optical\opt_0209.npy,data/processed/sar\sar_0209.npy,barren,train
210,data/processed/optical\opt_0210.npy,data/processed/sar\sar_0210.npy,barren,train
211,data/processed/optical\opt_0211.npy,data/processed/sar\sar_0211.npy,forest,train
212,data/processed/optical\opt_0212.npy,data/processed/sar\sar_0212.npy,forest,train
213,data/processed/optical\opt_0213.npy,data/processed/sar\sar_0213.npy,barren,train
214,data/processed/optical\opt_0214.npy,data/processed/sar\sar_0214.npy,agriculture,train
215,data/processed/optical\opt_0215.npy,data/processed/sar\sar_0215.npy,barren,train
216,data/processed/optical\opt_0216.npy,data/processed/sar\sar_0216.npy,agriculture,train
217,data/processed/optical\opt_0217.npy,data/processed/sar\sar_0217.npy,forest,train
218,data/processed/optical\opt_0218.npy,data/processed/sar\sar_0218.npy,agriculture,train
219,data/processed/optical\opt_0219.npy,data/processed/sar\sar_0219.npy,agriculture,train
220,data/processed/optical\opt_0220.npy,data/processed/sar\sar_0220.npy,agriculture,train
221,data/processed/optical\opt_0221.npy,data/processed/sar\sar_0221.npy,barren,train
222,data/processed/optical\opt_0222.npy,data/processed/sar\sar_0222.npy,forest,train
223,data/processed/optical\opt_0223.npy,data/processed/sar\sar_0223.npy,forest,train
224,data/processed/optical\opt_0224.npy,data/processed/sar\sar_0224.npy,agriculture,train
225,data/processed/optical\opt_0225.npy,data/processed/sar\sar_0225.npy,barren,train
226,data/processed/optical\opt_0226.npy,data/processed/sar\sar_0226.npy,agriculture,train
227,data/processed/optical\opt_0227.npy,data/processed/sar\sar_0227.npy,agriculture,train
228,data/processed/optical\opt_0228.npy,data/processed/sar\sar_0228.npy,barren,train
229,data/processed/optical\opt_0229.npy,data/processed/sar\sar_0229.npy,barren,train
230,data/processed/optical\opt_0230.npy,data/processed/sar\sar_0230.npy,barren,train
231,data/processed/optical\opt_0231.npy,data/processed/sar\sar_0231.npy,forest,train
232,data/processed/optical\opt_0232.npy,data/processed/sar\sar_0232.npy,barren,train
233,data/processed/optical\opt_0233.npy,data/processed/sar\sar_0233.npy,forest,train
234,data/processed/optical\opt_0234.npy,data/processed/sar\sar_0234.npy,barren,train
235,data/processed/optical\opt_0235.npy,data/processed/sar\sar_0235.npy,barren,train
236,data/processed/optical\opt_0236.npy,data/processed/sar\sar_0236.npy,forest,train
237,data/processed/optical\opt_0237.npy,data/processed/sar\sar_0237.npy,barren,train
238,data/processed/optical\opt_0238.npy,data/processed/sar\sar_0238.npy,agriculture,train
239,data/processed/optical\opt_0239.npy,data/processed/sar\sar_0239.npy,agriculture,train
240,data/processed/optical\opt_0240.npy,data/processed/sar\sar_0240.npy,forest,train
241,data/processed/optical\opt_0241.npy,data/processed/sar\sar_0241.npy,forest,train
242,data/processed/optical\opt_0242.npy,data/processed/sar\sar_0242.npy,agriculture,train
243,data/processed/optical\opt_0243.npy,data/processed/sar\sar_0243.npy,forest,train
244,data/processed/optical\opt_0244.npy,data/processed/sar\sar_0244.npy,barren,train
245,data/processed/optical\opt_0245.npy,data/processed/sar\sar_0245.npy,forest,train
246,data/processed/optical\opt_0246.npy,data/processed/sar\sar_0246.npy,agriculture,train
247,data/processed/optical\opt_0247.npy,data/processed/sar\sar_0247.npy,forest,train
248,data/processed/optical\opt_0248.npy,data/processed/sar\sar_0248.npy,forest,train
249,data/processed/optical\opt_0249.npy,data/processed/sar\sar_0249.npy,forest,train
250,data/processed/optical\opt_0250.npy,data/processed/sar\sar_0250.npy,barren,train
251,data/processed/optical\opt_0251.npy,data/processed/sar\sar_0251.npy,forest,train
252,data/processed/optical\opt_0252.npy,data/processed/sar\sar_0252.npy,barren,train
253,data/processed/optical\opt_0253.npy,data/processed/sar\sar_0253.npy,barren,train
254,data/processed/optical\opt_0254.npy,data/processed/sar\sar_0254.npy,agriculture,train
255,data/processed/optical\opt_0255.npy,data/processed/sar\sar_0255.npy,forest,train
256,data/processed/optical\opt_0256.npy,data/processed/sar\sar_0256.npy,agriculture,train
257,data/processed/optical\opt_0257.npy,data/processed/sar\sar_0257.npy,barren,train
258,data/processed/optical\opt_0258.npy,data/processed/sar\sar_0258.npy,forest,train
259,data/processed/optical\opt_0259.npy,data/processed/sar\sar_0259.npy,forest,train
260,data/processed/optical\opt_0260.npy,data/processed/sar\sar_0260.npy,forest,train
261,data/processed/optical\opt_0261.npy,data/processed/sar\sar_0261.npy,forest,train
262,data/processed/optical\opt_0262.npy,data/processed/sar\sar_0262.npy,agriculture,train
263,data/processed/optical\opt_0263.npy,data/processed/sar\sar_0263.npy,barren,train
264,data/processed/optical\opt_0264.npy,data/processed/sar\sar_0264.npy,agriculture,train
265,data/processed/optical\opt_0265.npy,data/processed/sar\sar_0265.npy,barren,train
266,data/processed/optical\opt_0266.npy,data/processed/sar\sar_0266.npy,agriculture,train
267,data/processed/optical\opt_0267.npy,data/processed/sar\sar_0267.npy,agriculture,train
268,data/processed/optical\opt_0268.npy,data/processed/sar\sar_0268.npy,barren,train
269,data/processed/optical\opt_0269.npy,data/processed/sar\sar_0269.npy,agriculture,train
270,data/processed/optical\opt_0270.npy,data/processed/sar\sar_0270.npy,barren,train
271,data/processed/optical\opt_0271.npy,data/processed/sar\sar_0271.npy,agriculture,train
272,data/processed/optical\opt_0272.npy,data/processed/sar\sar_0272.npy,barren,train
273,data/processed/optical\opt_0273.npy,data/processed/sar\sar_0273.npy,agriculture,train
274,data/processed/optical\opt_0274.npy,data/processed/sar\sar_0274.npy,barren,train
275,data/processed/optical\opt_0275.npy,data/processed/sar\sar_0275.npy,agriculture,train
276,data/processed/optical\opt_0276.npy,data/processed/sar\sar_0276.npy,forest,train
277,data/processed/optical\opt_0277.npy,data/processed/sar\sar_0277.npy,agriculture,train
278,data/processed/optical\opt_0278.npy,data/processed/sar\sar_0278.npy,barren,train
279,data/processed/optical\opt_0279.npy,data/processed/sar\sar_0279.npy,barren,train
280,data/processed/optical\opt_0280.npy,data/processed/sar\sar_0280.npy,agriculture,train
281,data/processed/optical\opt_0281.npy,data/processed/sar\sar_0281.npy,forest,train
282,data/processed/optical\opt_0282.npy,data/processed/sar\sar_0282.npy,forest,train
283,data/processed/optical\opt_0283.npy,data/processed/sar\sar_0283.npy,agriculture,train
284,data/processed/optical\opt_0284.npy,data/processed/sar\sar_0284.npy,forest,train
285,data/processed/optical\opt_0285.npy,data/processed/sar\sar_0285.npy,barren,train
286,data/processed/optical\opt_0286.npy,data/processed/sar\sar_0286.npy,forest,train
287,data/processed/optical\opt_0287.npy,data/processed/sar\sar_0287.npy,barren,train
288,data/processed/optical\opt_0288.npy,data/processed/sar\sar_0288.npy,forest,train
289,data/processed/optical\opt_0289.npy,data/processed/sar\sar_0289.npy,barren,train
290,data/processed/optical\opt_0290.npy,data/processed/sar\sar_0290.npy,barren,train
291,data/processed/optical\opt_0291.npy,data/processed/sar\sar_0291.npy,forest,train
292,data/processed/optical\opt_0292.npy,data/processed/sar\sar_0292.npy,forest,train
293,data/processed/optical\opt_0293.npy,data/processed/sar\sar_0293.npy,barren,train
294,data/processed/optical\opt_0294.npy,data/processed/sar\sar_0294.npy,barren,train
295,data/processed/optical\opt_0295.npy,data/processed/sar\sar_0295.npy,agriculture,train
296,data/processed/optical\opt_0296.npy,data/processed/sar\sar_0296.npy,agriculture,train
297,data/processed/optical\opt_0297.npy,data/processed/sar\sar_0297.npy,agriculture,train
298,data/processed/optical\opt_0298.npy,data/processed/sar\sar_0298.npy,barren,train
299,data/processed/optical\opt_0299.npy,data/processed/sar\sar_0299.npy,barren,train
300,data/processed/optical\opt_0300.npy,data/processed/sar\sar_0300.npy,agriculture,train
301,data/processed/optical\opt_0301.npy,data/processed/sar\sar_0301.npy,forest,train
302,data/processed/optical\opt_0302.npy,data/processed/sar\sar_0302.npy,forest,train
303,data/processed/optical\opt_0303.npy,data/processed/sar\sar_0303.npy,agriculture,train
304,data/processed/optical\opt_0304.npy,data/processed/sar\sar_0304.npy,agriculture,train
305,data/processed/optical\opt_0305.npy,data/processed/sar\sar_0305.npy,agriculture,train
306,data/processed/optical\opt_0306.npy,data/processed/sar\sar_0306.npy,barren,train
307,data/processed/optical\opt_0307.npy,data/processed/sar\sar_0307.npy,agriculture,train
308,data/processed/optical\opt_0308.npy,data/processed/sar\sar_0308.npy,forest,train
309,data/processed/optical\opt_0309.npy,data/processed/sar\sar_0309.npy,forest,train
310,data/processed/optical\opt_0310.npy,data/processed/sar\sar_0310.npy,forest,train
311,data/processed/optical\opt_0311.npy,data/processed/sar\sar_0311.npy,barren,train
312,data/processed/optical\opt_0312.npy,data/processed/sar\sar_0312.npy,agriculture,train
313,data/processed/optical\opt_0313.npy,data/processed/sar\sar_0313.npy,forest,train
314,data/processed/optical\opt_0314.npy,data/processed/sar\sar_0314.npy,agriculture,train
315,data/processed/optical\opt_0315.npy,data/processed/sar\sar_0315.npy,forest,train
316,data/processed/optical\opt_0316.npy,data/processed/sar\sar_0316.npy,forest,train
317,data/processed/optical\opt_0317.npy,data/processed/sar\sar_0317.npy,agriculture,train
318,data/processed/optical\opt_0318.npy,data/processed/sar\sar_0318.npy,barren,train
319,data/processed/optical\opt_0319.npy,data/processed/sar\sar_0319.npy,agriculture,train
320,data/processed/optical\opt_0320.npy,data/processed/sar\sar_0320.npy,agriculture,train
321,data/processed/optical\opt_0321.npy,data/processed/sar\sar_0321.npy,barren,train
322,data/processed/optical\opt_0322.npy,data/processed/sar\sar_0322.npy,forest,train
323,data/processed/optical\opt_0323.npy,data/processed/sar\sar_0323.npy,forest,train
324,data/processed/optical\opt_0324.npy,data/processed/sar\sar_0324.npy,agriculture,train
325,data/processed/optical\opt_0325.npy,data/processed/sar\sar_0325.npy,forest,train
326,data/processed/optical\opt_0326.npy,data/processed/sar\sar_0326.npy,agriculture,train
327,data/processed/optical\opt_0327.npy,data/processed/sar\sar_0327.npy,forest,train
328,data/processed/optical\opt_0328.npy,data/processed/sar\sar_0328.npy,barren,train
329,data/processed/optical\opt_0329.npy,data/processed/sar\sar_0329.npy,forest,train
330,data/processed/optical\opt_0330.npy,data/processed/sar\sar_0330.npy,agriculture,train
331,data/processed/optical\opt_0331.npy,data/processed/sar\sar_0331.npy,agriculture,train
332,data/processed/optical\opt_0332.npy,data/processed/sar\sar_0332.npy,barren,train
333,data/processed/optical\opt_0333.npy,data/processed/sar\sar_0333.npy,barren,train
